role,permission(action),description
Compliance Administrator,microsoft.office365.complianceManager/allEntities/allTasks,"Manage all aspects of Office 365 Compliance Manager"
Compliance Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Compliance Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Compliance Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Compliance Data Administrator,microsoft.azure.informationProtection/allEntities/allTasks,"Manage all aspects of Azure Information Protection"
Compliance Data Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Compliance Data Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Compliance Data Administrator,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Compliance Data Administrator,microsoft.directory/cloudAppSecurity/allProperties/allTasks,"Create and delete all resources, and read and update standard properties in Microsoft Defender for Cloud Apps"
Compliance Data Administrator,microsoft.office365.complianceManager/allEntities/allTasks,"Manage all aspects of Office 365 Compliance Manager"
Compliance Data Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Compliance Data Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Compliance Data Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/basic/update,"Update basic properties for Conditional Access policies"
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/create,"Create Conditional Access policies"
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/delete,"Delete Conditional Access policies"
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/owners/read,"Read the owners of Conditional Access policies"
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/owners/update,"Update owners for Conditional Access policies"
