role,permission(action),description
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/policyAppliedTo/read,"Read the ""applied to"" property for Conditional Access policies"
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/standard/read,"Read Conditional Access for policies"
Conditional Access Administrator,microsoft.directory/conditionalAccessPolicies/tenantDefault/update,"Update the default tenant for Conditional Access policies"
Conditional Access Administrator,microsoft.directory/namedLocations/basic/update,"Update basic properties of custom rules that define network locations"
Conditional Access Administrator,microsoft.directory/namedLocations/create,"Create custom rules that define network locations"
Conditional Access Administrator,microsoft.directory/namedLocations/delete,"Delete custom rules that define network locations"
Conditional Access Administrator,microsoft.directory/namedLocations/standard/read,"Read basic properties of custom rules that define network locations"
Conditional Access Administrator,microsoft.directory/resourceNamespaces/resourceActions/authenticationContext/update,"Update Conditional Access authentication context of Microsoft 365 role-based access control (RBAC) resource actions"
Customer LockBox Access Approver,microsoft.office365.lockbox/allEntities/allTasks,"Manage all aspects of Customer Lockbox"
Customer LockBox Access Approver,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Desktop Analytics Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Desktop Analytics Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Desktop Analytics Administrator,microsoft.directory/authorizationPolicy/standard/read,"Read standard properties of authorization policy"
Desktop Analytics Administrator,microsoft.office365.desktopAnalytics/allEntities/allTasks,"Manage all aspects of Desktop Analytics"
Directory Readers,microsoft.directory/administrativeUnits/members/read,"Read members of administrative units"
Directory Readers,microsoft.directory/administrativeUnits/standard/read,"Read basic properties on administrative units"
Directory Readers,microsoft.directory/applicationPolicies/standard/read,"Read standard properties of application policies"
Directory Readers,microsoft.directory/applications/owners/read,"Read owners of applications"
Directory Readers,microsoft.directory/applications/policies/read,"Read policies of applications"
Directory Readers,microsoft.directory/applications/standard/read,"Read standard properties of applications"
Directory Readers,microsoft.directory/contacts/memberOf/read,"Read the group membership for all contacts in Microsoft Entra ID"
Directory Readers,microsoft.directory/contacts/standard/read,"Read basic properties on contacts in Microsoft Entra ID"
Directory Readers,microsoft.directory/contracts/standard/read,"Read basic properties on partner contracts"
Directory Readers,microsoft.directory/devices/memberOf/read,"Read device memberships"
Directory Readers,microsoft.directory/devices/registeredOwners/read,"Read registered owners of devices"
Directory Readers,microsoft.directory/devices/registeredUsers/read,"Read registered users of devices"
Directory Readers,microsoft.directory/devices/standard/read,"Read basic properties on devices"
Directory Readers,microsoft.directory/directoryRoles/eligibleMembers/read,"Read the eligible members of Microsoft Entra roles"
Directory Readers,microsoft.directory/directoryRoles/members/read,"Read all members of Microsoft Entra roles"
Directory Readers,microsoft.directory/directoryRoles/standard/read,"Read basic properties of Microsoft Entra roles"
Directory Readers,microsoft.directory/domains/standard/read,"Read basic properties on domains"
Directory Readers,microsoft.directory/groups/appRoleAssignments/read,"Read application role assignments of groups"
Directory Readers,microsoft.directory/groups/memberOf/read,"Read the memberOf property on Security groups and Microsoft 365 groups, including role-assignable groups"
Directory Readers,microsoft.directory/groups/members/read,"Read members of Security groups and Microsoft 365 groups, including role-assignable groups"
Directory Readers,microsoft.directory/groups/owners/read,"Read owners of Security groups and Microsoft 365 groups, including role-assignable groups"
Directory Readers,microsoft.directory/groups/settings/read,"Read settings of groups"
Directory Readers,microsoft.directory/groups/standard/read,"Read standard properties of Security groups and Microsoft 365 groups, including role-assignable groups"
Directory Readers,microsoft.directory/groupSettings/standard/read,"Read basic properties on group settings"
Directory Readers,microsoft.directory/groupSettingTemplates/standard/read,"Read basic properties on group setting templates"
Directory Readers,microsoft.directory/oAuth2PermissionGrants/standard/read,"Read basic properties on OAuth 2.0 permission grants"
Directory Readers,microsoft.directory/organization/standard/read,"Read basic properties on an organization"
Directory Readers,microsoft.directory/organization/trustedCAsForPasswordlessAuth/read,"Read trusted certificate authorities for passwordless authentication"
Directory Readers,microsoft.directory/roleAssignments/standard/read,"Read basic properties on role assignments"
Directory Readers,microsoft.directory/roleDefinitions/standard/read,"Read basic properties on role definitions"
Directory Readers,microsoft.directory/servicePrincipals/appRoleAssignedTo/read,"Read service principal role assignments"
Directory Readers,microsoft.directory/servicePrincipals/appRoleAssignments/read,"Read role assignments assigned to service principals"
Directory Readers,microsoft.directory/servicePrincipals/memberOf/read,"Read the group memberships on service principals"
